"TI_SERVICE_PROVIDER",100001,2
"TI_MARKET",100003,2
"TI_SECTION",100004,2
"TI_MARKET_PHASE",100005,2
"TI_PHASE_SECTION",100006,2
"TI_CURRENCY",100007,2
"TI_COUNTRY",100008,2
"TI_CALENDAR",100009,2
"TI_CALENDAR_WDAY",100010,2
"TI_CALENDAR_HOLIDAY",100011,2
"TI_ISSUER",100012,2
"TI_INDUSTRY",100013,2
"TI_RESIDUAL_MATURITY",100014,2
"TI_INSTRUMENT_CLASS",100015,2
"TI_CALENDAR_EXCEPTION",100016,2
"TI_INSTRUMENT_RATING",100017,2
"TI_COUPON_PLAN",100018,2
"TI_INSTRUMENT",100019,2
"TI_MEMBER",100020,2
"BV_INSTRUMENT_CLASS_SECTION",100021,2
"TI_TRADER_GROUP_SUSPENSION",100022,4
"TI_TRADER_INSTR_ACCESS_RIGHT",100024,4
"TI_TRADER",100025,4
"TI_TRADER_MARKET_ACCESS_RIGHT",100027,4
"TI_SETTL_SYSTEM",100028,2
"TI_SETTL_GROUP_INFO",100029,2
"TI_RATES",100030,2
"TI_MARKET_STATUS",100033,2
"TI_SECTION_PHASE_STATUS",100034,2
"TI_MEMBER_STATUS",100035,4
"TI_TRADER_STATUS",100036,4
"TI_MAIL",100037,4
"TI_SUSPENSION",100038,2
"TI_MEMBER_SECTION",100040,2
"TI_MEMBER_SECTION_INSTRUMENT_CLASS",100041,2
"TI_TRADER_GROUPS",100042,4
"TI_CREDIT_LINE_ECL",100043,4
"TI_CREDIT_LINE_NCL",100044,4
"TI_FUTURE_DELIVERY",100045,2
"TI_UPLOAD",100046,2
"TI_FUTURE",100048,2
"TI_DESC_CLASS",100049,2
"TI_DESC_CLASS_FIELD",100050,2
"TI_DESC_CLASS_KEY",100051,2
"TI_DESC_CLASS_SEGKEY",100052,2
"TI_TRADER_PLATFORM_ACCESS_RIGHT",100053,4
"TI_FUTURE_EXCHANGE",100057,2
"TI_MARKET_FUNCTION_PROFILE",100058,2
"TI_MARKET_FUNCTION",100059,2
"TI_MEMBER_SECTION_INSTRUMENT_CLASS_EXCEPTION",100060,2
"BV_RFCQ_INSTRUMENT_CLASS_ENABLE",100061,4
"BV_MEMBER_ACCOUNT",100064,4
"BV_SELL_SIDE_MEMBER",100066,4
"TI_TRADER_CONNECTION_INFO",100067,4
"BV_MEMBER_SALES_CONFIG",100068,4
"TI_TRADING_CAPS",100069,4
"BV_MULTIMEMBER_TRADER",100075,4
"TI_EXCHANGE_RATE",100076,2
"BV_MEMBER_ACCOUNT_INFO",100077,4
"BV_RFCQ_TRADING_RELATION_TRADER",100078,4
"TI_PRICE",100079,2
"TI_INSTRUMENT_ANALYTICS",100083,4
"TI_INFLATION_INDEX",100089,2
"BV_RFCQ_TRADING_RELATION_TRADER_EXCEPTION",100095,4
"TI_SALES_GROUP",100096,4
"TI_SALES_GROUP_CONFIG",100097,4
"TI_SALES_GROUP_DEFINITION",100098,4
"BV_TRADER_INFO",100099,4
"TI_MEMBER_CONNECTION_INFO",100200,4
"BV_RFCQ_BUY_SIDE_TRADING_LIST",100201,4
"BV_RFCQ_SELL_SIDE_TRADING_LIST",100202,4
"BV_RFCQ_TYPE_EXCEPTION",100205,4
"BV_RFCQ_BUY_SIDE_TRADING_LIST_LEG_INFO",100206,4
"BV_RFCQ_SELL_SIDE_TRADING_LIST_LEG_INFO",100207,4
"TI_PRODUCT_TYPE",100208,2
"TI_BROKER",100209,2
"BV_MEMBER_ACCOUNT_EXCEPTION",100212,4
"BV_RFCQ_BUY_SIDE_TRADING_LIST_LEG_REJECT",100217,4
"BV_RFCQ_SELL_SIDE_TRADING_LIST_LEG_REJECT",100218,4
"BV_MKT_AFFILIATION",100222,2
"BV_INSTRUMENT_CLASS_AREA_CODE_MKTAFF",100223,2
"BV_RFCQ_TRADING_RELATION_EXCEPTION",100224,4
"BV_RFCQ_TRADING_RELATION",100226,4
"BV_MINORITY_BROKER_MEMBER_INFO",100227,4
"TI_INSTRUMENT_ALT_CODE",100228,2
"BV_AREA_CODE",100229,2
"BV_AREA_CODE_RELATION",100230,2
"TI_TEMPLATE_PLATFORM_ACCESS_RIGHT",100233,2
"TI_TEMPLATE_MARKET_ACCESS_RIGHT",100234,2
"TI_TEMPLATE_INSTR_ACCESS_RIGHT",100235,2
"TI_INTRADAY_UPDATE_NOTIFICATION",100236,2
"TI_ESG_BOND_TYPE",100237,2
"TI_ESG_COMPLIANCE_CODE",100238,2
"TI_ESG_BOND",100239,2
"TI_PRICE_FLOW",100800,4
"TI_EXCHANGE_RATE_FLOW",100801,4
"TI_GOV_MANAGE_FILL_REQ",100803,4
"TI_SUSPENSION_GOV",100804,4
"TI_REQUEST_OP",100806,4
"TI_CANCEL_INVENTORY_QUOTE",100808,4
"TI_CANCEL_ORDER_STAGING",100809,4
"TI_CANCEL_RFCQ",100810,4
"TI_RFCQ_MARKET_PARAMS_UPDATE",100811,4
"TI_RESET_PASSWORD",100812,4
"TI_FORCE_DISCONNECTION",100813,4
"BV_RFCQ_TRADING_RELATION_COUNT",100814,4
"TI_RFCQ_INSTRUMENT_CLASS_PARAMS_UPDATE",100815,4
"TI_SETTL_GROUP_INFO_PARAMS_UPDATE",100816,4
"TI_INSTRUMENT_RATING_FLOW",100817,4
"BV_RFCQ_TRADING_RELATION_GOV",100818,4
"TI_FIXING_RATE_FLOW",100821,4
"BV_LOG_RFCQ_INSTRUMENT_CLASS_ENABLE",100824,4
"BV_LOG_RFCQ_TRADING_RELATION",100825,4
"BV_LOG_RFCQ_TRADING_RELATION_EXCEPTION",100826,4
"BV_LOG_RFCQ_TRADING_RELATION_TRADER_EXCEPTION",100827,4
"BV_LOG_MEMBER_SALES_CONFIG",100830,4
"TI_LOG_SALES_GROUP",100831,4
"TI_LOG_SALES_GROUP_CONFIG",100832,4
"TI_LOG_SALES_GROUP_DEFINITION",100833,4
"TI_LOG_TRADING_CAPS",100834,4
"BV_RFCQ_TRADING_RELATION_TRADER_EXC_COUNT",100835,4
"BV_LOG_RFCQ_TYPE_EXCEPTION",100836,4
"TI_FIX_SESSION",100837,4
"BV_FIX_SESSION_CONFIG",100838,4
"TI_FIX_SESSION_STATUS",100839,4
"GOV_TI_TRADER",100850,4
"GOV_TI_TRADER_INSTR_ACCESS_RIGHT",100851,4
"GOV_TI_TRADER_MARKET_ACCESS_RIGHT",100852,4
"GOV_TI_TRADER_PLATFORM_ACCESS_RIGHT",100853,4
"DF_BV_QUOTATION_LIMIT",114000,5
"DF_BV_INVENTORY_GROUP_RFCQ_OPTION",114001,5
"DF_BV_BOND",114002,5
"DF_BV_INSTRUMENT_MODALITY",114003,5
"DF_BV_INSTRUMENT_SECTION",114004,5
"BV_MARKET_PARAMS",114100,2
"BV_SETTLEMENT_GROUP_MEMBER",114101,2
"BV_INSTRUMENT_SECTION",114102,2
"BV_INSTRUMENT_CLASS",114107,2
"BV_LINKED_MEMBERS",114108,4
"BV_INSTRUMENT_GROUP",114110,2
"BV_RFCQ_AUTO_EXECUTION_REPORT",114111,4
"BV_RFCQ_AUTO_EXECUTION_RULE_PRIORITY",114112,4
"BV_LAST_DEAL",114113,2
"BV_DEAL",114116,4
"BV_TRADE",114117,4
"BV_OFFICIAL_PRICE",114122,2
"BV_VOLUME_MARKET_STATISTIC",114124,2
"BV_TRADABLE_INSTRUMENT_STATISTIC",114146,2
"BV_FINANCIAL_INSTRUMENT_STATISTIC",114147,2
"BV_INSTRUMENT_GROUP_DEFINITION",114157,2
"BV_CUSTOM_INSTRUMENT_GROUP",114158,4
"BV_CUSTOM_INSTRUMENT_GROUP_DEFINITION",114159,4
"BV_RFCQ_WITHDRAW",114160,4
"BV_BEST",114161,2
"BV_INVENTORY_DEPTH",114162,4
"BV_RFCQ_DEPTH",114163,4
"BV_INVENTORY_QUOTE",114166,4
"BV_RFCQ_QUOTE",114167,4
"BV_INVENTORY_QUICK_EDIT",114170,4
